trial,value,state,dataset.seed,model.beta,model.threshold,trainer.alpha,trainer.beta,trainer.lr,trainer.vth
0,0.6136363636363636,COMPLETE,59,0.829643541684063,0.6559945203362026,0.9436714480253212,0.8586770314875884,0.00024289169469748895,1.018390181036444
1,0.4015151515151515,COMPLETE,213,0.9842828719107789,1.3324426408004217,0.6150481110386163,0.8469555631200623,0.015994091701280463,0.32470139315496294
2,0.5871212121212122,COMPLETE,612,0.882069553542002,0.7912291401980419,0.2224002392622278,0.6490786990501735,4.7050592819076514e-05,0.9297077179586855
3,0.5984848484848485,COMPLETE,515,0.9491834326646726,0.6996737821583597,0.324615969623105,0.6795173032139089,3.280829084730047e-05,0.8472839810604431
4,0.5757575757575758,COMPLETE,966,0.8123598026672032,1.4488855372533331,0.09366338795679786,0.7976969774317049,0.001553544580758846,0.5046289484247498
5,0.571969696969697,COMPLETE,496,0.8836289738105243,0.6220382348447788,0.3363369430229684,0.5478593358631281,0.009777718780862659,1.1210796318145881
6,0.5795454545454546,COMPLETE,547,0.8592251044569881,1.0200680211778108,0.9047611779540551,0.6268021909840082,1.3403002793227001e-05,1.0950267412247783
7,0.6287878787878788,COMPLETE,922,0.9700171965812533,1.097899978811085,0.961409550098685,0.8798150834469461,4.8280425192712865e-05,1.427398729877027
8,0.5681818181818182,COMPLETE,829,0.8738486850410017,0.7713490317738959,0.23422389067399646,0.5221613715661636,2.1248638632431267e-05,0.6903963969159173
9,0.6060606060606061,COMPLETE,987,0.9524174263432675,0.5745506436797708,0.31407843910613786,0.7659210807475417,0.00020874681332882274,0.46910906996971513
